百色(三),2022-06-14 03:00:00,水位：115.50m,警戒水位：116.20m
百色(三),2022-06-14 04:00:00,水位：115.52m,警戒水位：116.20m
百色(三),2022-06-14 05:00:00,水位：115.52m,警戒水位：116.20m
百色(三),2022-06-14 06:00:00,水位：115.54m,警戒水位：116.20m
百色(三),2022-06-14 07:00:00,水位：115.54m,警戒水位：116.20m
百色(三),2022-06-14 08:00:00,水位：115.56m,警戒水位：116.20m
百色(三),2022-06-14 09:00:00,水位：115.50m,警戒水位：116.20m
百色(三),2022-06-14 10:00:00,水位：115.53m,警戒水位：116.20m
百色(三),2022-06-14 11:00:00,水位：115.55m,警戒水位：116.20m
百色(三),2022-06-14 12:00:00,水位：115.53m,警戒水位：116.20m
百色(三),2022-06-14 13:00:00,水位：115.53m,警戒水位：116.20m
百色(三),2022-06-14 14:00:00,水位：115.53m,警戒水位：116.20m
百色(三),2022-06-14 15:00:00,水位：115.54m,警戒水位：116.20m
百色(三),2022-06-14 16:00:00,水位：115.51m,警戒水位：116.20m
百色(三),2022-06-14 17:00:00,水位：115.51m,警戒水位：116.20m
百色(三),2022-06-14 18:00:00,水位：115.53m,警戒水位：116.20m
百色(三),2022-06-14 19:00:00,水位：115.54m,警戒水位：116.20m
百色(三),2022-06-14 20:00:00,水位：115.57m,警戒水位：116.20m
百色(三),2022-06-14 21:00:00,水位：115.59m,警戒水位：116.20m
百色(三),2022-06-14 22:00:00,水位：115.56m,警戒水位：116.20m
百色(三),2022-06-14 23:00:00,水位：115.55m,警戒水位：116.20m
百色(三),2022-06-15 00:00:00,水位：115.54m,警戒水位：116.20m
百色(三),2022-06-15 01:00:00,水位：115.55m,警戒水位：116.20m
百色(三),2022-06-15 02:00:00,水位：115.59m,警戒水位：116.20m
百色(三),2022-06-15 03:00:00,水位：115.59m,警戒水位：116.20m
百色(三),2022-06-15 04:00:00,水位：115.61m,警戒水位：116.20m
百色(三),2022-06-15 05:00:00,水位：115.63m,警戒水位：116.20m
百色(三),2022-06-15 06:00:00,水位：115.63m,警戒水位：116.20m
百色(三),2022-06-15 07:00:00,水位：115.64m,警戒水位：116.20m
